,Title,Year of Release,Certification,Duration,Genre,Rating,Metascore,Plot,Market
30,Seppuku,(1962),A,133 min,"
Action, Drama, Mystery            ",8.6,85        ,"
    When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",$23.34M
31,Interstellar,(2014),U,169 min,"
Adventure, Drama, Sci-Fi            ",8.6,74        ,"
    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",$422.78M
32,The Usual Suspects,(1995),R,106 min,"
Crime, Mystery, Thriller            ",8.5,77        ,"
    A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",$6.72M
33,The Lion King,(1994),U,88 min,"
Animation, Adventure, Drama            ",8.5,88        ,"
    Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",$210.61M
34,American History X,(1998),13,119 min,"
Drama            ",8.5,62        ,"
    A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.",$32.57M
35,Back to the Future,(1985),U,116 min,"
Adventure, Comedy, Sci-Fi            ",8.5,87        ,"
    Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",$0.16M
36,The Pianist,(2002),UA,150 min,"
Biography, Drama, Music            ",8.5,85        ,"
    A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.",$204.84M
37,Modern Times,(1936),A,87 min,"
Comedy, Drama, Family            ",8.5,96        ,"
    The Tramp struggles to live in modern industrial society with the help of a young homeless woman.",$13.18M
38,Terminator 2: Judgment Day,(1991),UA,137 min,"
Action, Sci-Fi            ",8.5,75        ,"
    A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",$32.00M
39,The Intouchables,(2011),G,112 min,"
Biography, Comedy, Drama            ",8.5,57        ,"
    After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",$187.71M
40,Psycho,(1960),A,109 min,"
Horror, Mystery, Thriller            ",8.5,97        ,"
    A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",$0.02M
41,Gladiator,(2000),A,155 min,"
Action, Adventure, Drama            ",8.5,67        ,"
    A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.",$132.38M
42,City Lights,(1931),U,87 min,"
Comedy, Drama, Romance            ",8.5,99        ,"
    With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",$13.09M
43,The Departed,(2006),PG-13,151 min,"
Crime, Drama, Thriller            ",8.5,85        ,"
    An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.",$5.32M
44,Whiplash,(2014),UA,106 min,"
Drama, Music            ",8.5,88        ,"
    A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.",$53.09M
45,Once Upon a Time in the West,(1968),U,165 min,"
Western            ",8.5,80        ,"
    A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.",$858.37M
46,The Prestige,(2006),U,130 min,"
Drama, Mystery, Sci-Fi            ",8.5,66        ,"
    After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",$1.02M
47,Avengers: Endgame,(2019),U,181 min,"
Action, Adventure, Drama            ",8.4,78        ,"
    After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",$36.76M
48,Avengers: Infinity War,(1942),U,102 min,"
Drama, Romance, War            ",8.5,100        ,"
    A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.",$11.99M
49,Casablanca,(1988),A,89 min,"
Animation, Drama, War            ",8.5,94        ,"
    A young boy and his little sister struggle to survive in Japan during World War II.",$78.90M
50,Hotaru no haka,(1954),U,112 min,"
Mystery, Thriller            ",8.4,100        ,"
    A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.",$248.16M
51,Rear Window,(1988),R,155 min,"
Drama            ",8.5,80        ,"
    A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.",$25.54M
52,Nuovo Cinema Paradiso,(1979),R,117 min,"
Horror, Sci-Fi            ",8.4,89        ,"
    After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",$83.47M
53,Alien,(1981),A,115 min,"
Action, Adventure            ",8.4,85        ,"
    In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",$0.29M
54,Raiders of the Lost Ark,(2000),UA,113 min,"
Mystery, Thriller            ",8.4,80        ,"
    A man with short-term memory loss attempts to track down his wife's murderer.",$11.29M
55,Memento,(1979),A,147 min,"
Drama, Mystery, War            ",8.4,94        ,"
    A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.",$678.82M
56,Apocalypse Now,(1940),U,125 min,"
Comedy, Drama, War            ",8.4,89        ,"
    Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.",$162.81M
57,The Great Dictator,(2006),A,137 min,"
Drama, Mystery, Thriller            ",8.4,68        ,"
    In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",$190.24M
58,The Lives of Others,(2018),A,149 min,"
Action, Adventure, Sci-Fi            ",8.4,81        ,"
    The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.",$44.02M
59,Avengers: Infinity War,(2012),U,165 min,"
Drama, Western            ",8.4,87        ,"
    With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",$223.81M
60,Django Unchained,(2018),A,117 min,"
Animation, Action, Adventure            ",8.4,66        ,"
    Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",$0.28M
61,Spider-Man: Into the Spider-Verse,(1980),U,146 min,"
Drama, Horror            ",8.4,90        ,"
    A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",$2.38M
62,The Shining,(1957),A,88 min,"
Drama, War            ",8.4,95        ,"
    After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",$0.71M
63,Paths of Glory,(2008),U,98 min,"
Animation, Adventure, Family            ",8.4,97        ,"
    In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",$8.18M
64,WALL·E,(1950),UA,110 min,"
Drama, Film-Noir            ",8.4,76        ,"
    A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.",$448.14M
65,Sunset Blvd.,(1964),A,95 min,"
Comedy            ",8.4,77        ,"
    An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.",$5.32M
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1997),A,134 min,"
Animation, Adventure, Fantasy            ",8.4,78        ,"
    On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",$53.37M
